============Overall============
148 templates in total. 457 attributes in total. 689 values in total. 2057 extractions in total. ============Template============
\Qthe \E#ATTRIBUTE#\Q was \E#VALUE#\Q!\E	125
\Qthe \E#ATTRIBUTE#\Q is \E#VALUE#\Q!\E	93
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is also\E	61
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q too.\E	23
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was pretty\E	119
\Qvery \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	126
\Q and the \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	62
#ATTRIBUTE#\Q was also very \E#VALUE#	105
\Qi'm not a \E#VALUE#\Q \E#ATTRIBUTE#\Q of the\E	11
#VALUE#\Q reviews about this \E#ATTRIBUTE#	13
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was very\E	90
#ATTRIBUTE#\Q is just as \E#VALUE#	104
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is really\E	36
#ATTRIBUTE#\Q was nice and \E#VALUE#	72
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q i have\E	37
\Qthis \E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	27
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q for the\E	48
\Qthe \E#ATTRIBUTE#\Q are \E#VALUE#\Q and the\E	58
\Q\E#VALUE#\Q the \E#ATTRIBUTE#\Q.\E	175
\QÊThe \E#ATTRIBUTE#\Q is \E#VALUE#\Q.\E	88
\Qthe \E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	633
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q here is\E	105
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was also\E	88
#ATTRIBUTE#\Q was fast and \E#VALUE#	92
#VALUE#\Q and a half \E#ATTRIBUTE#	133
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q - i\E	22
#ATTRIBUTE#\Q was a little \E#VALUE#	112
\Qi love \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	27
\Qthis is the \E#VALUE#\Q \E#ATTRIBUTE#\Q i have\E	12
\Qi had the \E#VALUE#\Q \E#ATTRIBUTE#\Q and the\E	69
#ATTRIBUTE#\Q has always been \E#VALUE#	42
#ATTRIBUTE#\Q was not as \E#VALUE#	22
\Qthis \E#ATTRIBUTE#\Q is \E#VALUE#\Q!\E	285
#VALUE#\Q way to end the \E#ATTRIBUTE#	37
#ATTRIBUTE#\Q was friendly and \E#VALUE#	74
#ATTRIBUTE#\Q is pretty damn \E#VALUE#	34
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is very\E	33
#ATTRIBUTE#\Q has some of the \E#VALUE#	11
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q on the\E	22
\Q, \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	62
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q ever.\E	39
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q ice cream\E	50
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q bowl was\E	14
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q!\E	611
\Q food, \E#VALUE#\Q \E#ATTRIBUTE#\Q, \E	11
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q to go\E	94
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was really\E	95
\Q and \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	111
\Qthe \E#ATTRIBUTE#\Q was very \E#VALUE#\Q.\E	44
#ATTRIBUTE#\Q to go for \E#VALUE#	72
#ATTRIBUTE#\Q is quick and \E#VALUE#	13
\Q\E#VALUE#\Q this \E#ATTRIBUTE#\Q!\E	151
\Qi \E#VALUE#\Q this \E#ATTRIBUTE#\Q.\E	321
#ATTRIBUTE#\Q here is very \E#VALUE#	41
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q i've ever\E	91
\Qnot a \E#VALUE#\Q \E#ATTRIBUTE#\Q of the\E	11
#VALUE#\Q the 45 minute \E#ATTRIBUTE#	13
\Qthe \E#ATTRIBUTE#\Q are \E#VALUE#\Q.\E	76
#ATTRIBUTE#\Q is one of the \E#VALUE#	140
#VALUE#\Q the akamaru modern \E#ATTRIBUTE#	72
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q, \E	320
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q and \E	92
#ATTRIBUTE#\Q here is pretty \E#VALUE#	40
\Q \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	91
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q for a\E	103
#ATTRIBUTE#\Q is by far the \E#VALUE#	11
\Q\E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	438
#VALUE#\Q is the best \E#ATTRIBUTE#	27
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q and the\E	78
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q had a\E	71
\Qs or 1 \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	11
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q i have\E	98
\Q\E#ATTRIBUTE#\Q: \E#VALUE#\Q.\E	26
#ATTRIBUTE#\Q is not as \E#VALUE#	11
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q in san\E	104
\Qi \E#VALUE#\Q this \E#ATTRIBUTE#\Q!\E	211
#ATTRIBUTE#\Q was one of the \E#VALUE#	33
\QÊThe \E#ATTRIBUTE#\Q is \E#VALUE#\Q and the\E	22
\Qi had the \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	59
#VALUE#\Q, this is the \E#ATTRIBUTE#	82
\Qmy \E#VALUE#\Q \E#ATTRIBUTE#\Q is the\E	37
#ATTRIBUTE#\Q is fast and \E#VALUE#	14
\Q\E#ATTRIBUTE#\Q is \E#VALUE#\Q.\E	218
\Q\E#VALUE#\Q the \E#ATTRIBUTE#\Q!\E	78
\Qthe \E#ATTRIBUTE#\Q is \E#VALUE#\Q and the\E	239
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	1841
#ATTRIBUTE#\Q can be pretty \E#VALUE#	11
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is so\E	23
#ATTRIBUTE#\Q is a bit \E#VALUE#	120
\Qthis \E#ATTRIBUTE#\Q is \E#VALUE#\Q.\E	485
#ATTRIBUTE#\Q was not too \E#VALUE#	36
#ATTRIBUTE#\Q was way too \E#VALUE#	41
\Qi'm a \E#VALUE#\Q \E#ATTRIBUTE#\Q of the\E	13
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q i've had\E	100
#ATTRIBUTE#\Q is also very \E#VALUE#	75
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q in the\E	103
#VALUE#\Q baby back rib \E#ATTRIBUTE#	16
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q sandwich is\E	11
#ATTRIBUTE#\Q is a little \E#VALUE#	130
