============Overall============
1566 templates in total. 566 attributes in total. 1247 values in total. 8010 extractions in total. ============Template============
#VALUE#\Qs the s\E#ATTRIBUTE#	125
#ATTRIBUTE#\Q and serv\E#VALUE#	478
#ATTRIBUTE#\Q were too \E#VALUE#	39
#ATTRIBUTE#\Q wasn't that \E#VALUE#	244
#VALUE#\Q with wasabi \E#ATTRIBUTE#	41
#ATTRIBUTE#\Q was top \E#VALUE#	39
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Qs.\E	274
#ATTRIBUTE#\Qs a long \E#VALUE#	230
#VALUE#\Q selection of \E#ATTRIBUTE#	259
\Q3.5 \E#VALUE#\Q.\E	61
\Qs\E#ATTRIBUTE#\Q is \E#VALUE#\Q.\E	36
#VALUE#\Q reviews about this \E#ATTRIBUTE#	148
\Qthis \E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	29
#ATTRIBUTE#\Q at a \E#VALUE#	562
#VALUE#\Q like this \E#ATTRIBUTE#	112
\Qi love \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	60
#ATTRIBUTE#\Q of the f\E#VALUE#	530
#ATTRIBUTE#\Q were all \E#VALUE#	63
#ATTRIBUTE#\Q and honey \E#VALUE#	119
#ATTRIBUTE#\Q was well \E#VALUE#	191
#ATTRIBUTE#\Q and the serv\E#VALUE#	134
#VALUE#\Q the l\E#ATTRIBUTE#	1307
#ATTRIBUTE#\Q and onion \E#VALUE#	454
#VALUE#\Q are the \E#ATTRIBUTE#	138
#VALUE#\Q across the \E#ATTRIBUTE#	237
#VALUE#\Q and cole \E#ATTRIBUTE#	126
#ATTRIBUTE#\Q and some \E#VALUE#	92
#ATTRIBUTE#\Q was friendly and \E#VALUE#	241
#VALUE#\Qs of the \E#ATTRIBUTE#	406
#ATTRIBUTE#\Q it was \E#VALUE#	601
#ATTRIBUTE#\Q dish of the \E#VALUE#	154
#VALUE#\Q customer se\E#ATTRIBUTE#	87
#VALUE#\Q kind of \E#ATTRIBUTE#	91
#VALUE#\Q is too \E#ATTRIBUTE#	159
#ATTRIBUTE#\Q for so \E#VALUE#	73
#VALUE#\Q in bbq \E#ATTRIBUTE#	242
#VALUE#\Q for a \E#ATTRIBUTE#	3216
#ATTRIBUTE#\Q of g\E#VALUE#	93
#VALUE#\Q as al\E#ATTRIBUTE#	33
#ATTRIBUTE#\Q across the \E#VALUE#	404
#ATTRIBUTE#\Q itself is \E#VALUE#	244
#VALUE#\Qd that this \E#ATTRIBUTE#	33
#ATTRIBUTE#\Qing for the \E#VALUE#	65
#VALUE#\Q pork rice \E#ATTRIBUTE#	54
#ATTRIBUTE#\Q that was \E#VALUE#	221
#ATTRIBUTE#\Q for an \E#VALUE#	439
#VALUE#\Q and the s\E#ATTRIBUTE#	366
#VALUE#\Qs place is \E#ATTRIBUTE#	130
#ATTRIBUTE#\Q was absolutely \E#VALUE#	317
#ATTRIBUTE#\Q and it was g\E#VALUE#	101
#VALUE#\Q and our \E#ATTRIBUTE#	199
#ATTRIBUTE#\Q ramen in the \E#VALUE#	39
#ATTRIBUTE#\Q was g\E#VALUE#	5999
#ATTRIBUTE#\Q some of the other \E#VALUE#	130
#ATTRIBUTE#\Q around the \E#VALUE#	426
\Q\E#ATTRIBUTE#\Q \E#VALUE#\Qs place!\E	66
#ATTRIBUTE#\Q in line for \E#VALUE#	34
#VALUE#\Qnd and i \E#ATTRIBUTE#	148
